"File","hc.nm.","Pmax.µN.","S.µN.nm.","A.nm.2.","hmax.nm.","heff.nm.","Er.GPa.","E.GPa.","H.GPa.","A","hf.nm.","m","X.mm.","Y.mm.","Drift.nm.s.","Feature","Orientation","Protein","Sample","Species","Region","Thickness","Prism","IPM"
"Grid_Position 226 0000 DC.hys",328.328565,15925.75958,185.067331,3450758.321,392.430381,392.868965,88.268819,89.65372856,4.615148,4.106267,249.635601,1.664462,-65.596003,-0.4165,-0.12789,"T","Perp",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0002 DC.hys",344.553478,14288.9501,188.948018,3768763.81,400.560409,401.271261,86.233837,87.41873065,3.791416,1.870566,263.914202,1.816323,-65.576003,-0.416,0.056812,"S","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0003 DC.hys",336.041429,15843.49702,187.388583,3600273.252,398.582255,399.453098,87.500437,88.80881399,4.400637,3.818876,257.350344,1.680717,-65.566003,-0.416,-0.062738,"B","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0004 DC.hys",327.906009,16305.9018,196.356464,3442653.781,389.777288,390.18777,93.763402,95.73152458,4.736434,1.744505,238.916713,1.821613,-65.555503,-0.416,-0.10049,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0005 DC.hys",332.322178,15184.16802,191.40074,3527800.24,391.565187,391.821039,90.287255,91.87906072,4.304146,1.263665,242.878588,1.877462,-65.545503,-0.416,-0.112586,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0006 DC.hys",338.316884,15441.49768,185.39135,3644956.636,400.212924,400.785404,86.035584,87.20145009,4.236401,1.253776,245.328554,1.866422,-65.535503,-0.416,-0.076837,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0007 DC.hys",329.353211,15959.17348,185.852724,3470448.279,393.239298,393.755711,88.391595,89.78884701,4.598591,1.683964,238.003188,1.813818,-65.596003,-0.4055,-0.049583,"H","Perp",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0008 DC.hys",333.507255,12578.81714,161.23918,3550816.79,392.274099,392.017308,75.81258,76.10632227,3.542514,0.153102,220.43003,2.199459,-65.585503,-0.406,-0.046883,"H","Perp",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0009 DC.hys",328.391783,15695.44147,184.432027,3451971.605,391.55898,392.217905,87.950347,89.30338721,4.546805,2.512593,243.520603,1.747294,-65.576003,-0.406,-0.066854,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0010 DC.hys",329.993663,15936.06507,193.804661,3482782.349,390.831891,391.664259,92.010179,93.78532878,4.575671,2.806802,248.477859,1.741345,-65.566003,-0.406,-0.070557,"T","Para",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0011 DC.hys",337.206931,15496.03555,188.920598,3623127.729,398.142443,398.72498,87.937136,89.28885874,4.276977,2.434862,254.264365,1.761198,-65.556003,-0.406,-0.090058,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0012 DC.hys",340.747362,15179.55303,194.291943,3692972.632,398.724292,399.343022,89.578044,91.09618486,4.110389,2.200291,259.553693,1.789245,-65.546003,-0.406,-0.081315,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0013 DC.hys",334.824111,14583.80595,182.848382,3576475.861,394.567389,394.643369,85.66399,86.79441066,4.077703,1.603496,248.737768,1.829331,-65.535503,-0.406,-0.072291,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0014 DC.hys",328.843663,16031.33135,186.397341,3460649.998,392.904595,393.348331,88.776026,90.21212703,4.632463,1.577846,236.400598,1.824842,-65.596003,-0.396,-0.073455,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0016 DC.hys",331.19508,15469.89869,185.212149,3505975.54,393.331471,393.839049,87.639493,88.96162941,4.412438,1.720324,242.371083,1.813438,-65.576003,-0.396,-0.088955,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0017 DC.hys",329.156803,14856.54802,187.697531,3466669.921,388.904908,388.520455,89.31762,90.80897459,4.285539,2.514695,249.273868,1.75924,-65.566003,-0.396,-0.061653,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0018 DC.hys",337.531445,15126.15058,182.230236,3629503.35,399.004728,399.785729,84.748431,85.79273445,4.167554,1.22229,244.708017,1.868278,-65.556003,-0.396,-0.086177,"B","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0019 DC.hys",332.443957,14797.47525,187.706685,3530162.171,390.735732,391.568684,88.515075,89.92477186,4.191727,1.095912,241.875612,1.898864,-65.546003,-0.396,-0.068442,"B","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0020 DC.hys",330.585475,15602.14392,183.803345,3494198.083,393.724858,394.249212,87.11932,88.39019157,4.465157,4.609298,254.579524,1.645399,-65.536003,-0.396,-0.095683,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0022 DC.hys",329.238592,15916.2488,189.983989,3468243.076,391.754696,392.071184,90.385146,91.9872021,4.589139,0.700583,227.418634,1.965372,-65.586003,-0.3855,-0.105557,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0023 DC.hys",334.537546,15699.75733,192.898711,3570884.669,394.800041,395.579001,90.443267,92.05141857,4.396602,3.410732,256.481582,1.709053,-65.575503,-0.386,-0.083153,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0024 DC.hys",336.311135,15556.02287,191.419089,3605555.848,397.14437,397.261259,89.316966,90.8082535,4.314459,1.958374,250.897545,1.801026,-65.566003,-0.3855,-0.085737,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0026 DC.hys",335.610834,14979.65881,187.662804,3591846.983,395.101622,395.477488,87.731209,89.06244257,4.170461,2.434438,254.704077,1.763587,-65.546003,-0.3855,-0.05843,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0027 DC.hys",339.893465,14594.40177,186.285918,3676069.293,398.710438,398.651537,86.084113,87.2546292,3.970111,3.78276,266.238418,1.690148,-65.536003,-0.3855,-0.065074,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0028 DC.hys",331.199015,15320.90989,186.648562,3506051.626,392.934142,392.762214,88.318223,89.70809528,4.369847,0.510936,227.159159,2.017476,-65.596003,-0.376,-0.065365,"B","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0029 DC.hys",329.031536,16488.8883,190.45862,3464261.157,392.928807,393.962524,90.663013,92.29427441,4.759713,2.123821,239.999311,1.778387,-65.586003,-0.376,-0.109386,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0030 DC.hys",336.02232,15639.27689,186.884283,3599899.105,398.353272,398.785531,87.269491,88.55510482,4.344365,5.731286,263.808471,1.612932,-65.575503,-0.376,-0.084426,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0031 DC.hys",330.065972,16219.29525,195.397981,3484176.201,391.640348,392.320819,92.748062,94.60363953,4.655131,4.985215,255.781129,1.644928,-65.566003,-0.376,-0.116016,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0032 DC.hys",334.266199,15755.59595,186.134167,3565594.207,398.228961,397.751035,87.336336,88.62852702,4.418785,3.956836,256.09534,1.673498,-65.556003,-0.376,-0.260862,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0033 DC.hys",343.368845,14566.69322,183.665001,3745095.95,401.822647,402.852252,84.087174,85.07035342,3.889538,1.582037,257.466035,1.833111,-65.546003,-0.376,-0.068237,"B","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0035 DC.hys",328.391451,15535.86454,185.697811,3451965.233,390.832034,391.138008,88.554045,89.96767602,4.500585,3.461008,249.168911,1.696935,-65.596003,-0.366,-0.087115,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0036 DC.hys",336.898753,16066.41657,189.233782,3617077.967,399.872664,400.57561,88.156545,89.53019529,4.441822,4.233157,259.247561,1.664593,-65.586003,-0.366,-0.052278,"B","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0037 DC.hys",326.641692,16059.71657,188.265653,3418458.278,389.496877,390.619307,90.217498,91.80201153,4.697941,10.037829,261.204995,1.517105,-65.575503,-0.366,-0.09396,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0038 DC.hys",332.738726,15954.4381,188.011095,3535882.353,396.080462,396.382994,88.58688,90.00382827,4.512152,4.497656,256.079719,1.653369,-65.566003,-0.366,-0.074085,"U","U",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0039 DC.hys",339.702828,15951.6959,197.784917,3672300.557,399.991643,400.191627,91.444773,93.15906914,4.343788,1.852565,253.663918,1.816796,-65.556003,-0.366,-0.053275,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0040 DC.hys",333.0662,15550.74389,189.25664,3542242.351,394.705757,394.691821,89.093664,90.56209641,4.390085,2.056095,247.650283,1.789534,-65.546003,-0.366,-0.106968,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0041 DC.hys",329.07706,16142.84942,188.157822,3465136.448,392.973109,393.422709,89.556463,91.07237874,4.658648,3.583411,248.397094,1.69039,-65.536003,-0.366,-0.08467,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0043 DC.hys",331.299187,16080.47099,194.186307,3507988.73,392.821416,393.406312,91.859555,93.61842778,4.583957,3.270841,251.376211,1.715143,-65.586003,-0.3565,-0.081475,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0044 DC.hys",327.901746,16336.56601,198.712763,3442572.072,388.89153,389.560717,94.889699,96.98521332,4.745454,2.736179,245.703632,1.749832,-65.575503,-0.3565,-0.061456,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0045 DC.hys",333.617076,15558.89309,197.279717,3552953.306,392.450733,392.767454,92.730482,94.58413002,4.379144,2.721494,254.373576,1.754772,-65.566003,-0.3565,-0.077486,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0046 DC.hys",335.630461,14511.89558,179.773029,3592230.867,395.416001,396.173034,84.038297,85.01699411,4.0398,0.559234,234.785098,1.99927,-65.556003,-0.3565,-0.069458,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0047 DC.hys",338.726234,15461.06188,196.272238,3653022.801,397.460537,397.8064,90.98452,92.64977525,4.232402,2.148501,256.497622,1.793861,-65.546003,-0.3565,-0.068568,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0048 DC.hys",329.576566,15477.39659,191.36508,3474747.386,389.710998,390.235739,90.956953,92.61928503,4.454251,1.292921,238.926291,1.870815,-65.536003,-0.356,-0.058701,"B","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0049 DC.hys",331.271189,15365.1392,188.988819,3507447.269,391.99173,392.247571,89.407791,90.90840424,4.380719,0.573054,229.457033,2.002298,-65.596003,-0.3455,-0.086719,"B","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0050 DC.hys",330.906553,16111.47022,198.950108,3500398.912,390.951614,391.643402,94.21504,96.23392359,4.602753,7.327803,263.276154,1.585124,-65.586003,-0.346,-0.045149,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0051 DC.hys",330.635742,15897.72124,197.244796,3495168.518,391.214707,391.084946,93.477335,95.41352852,4.548485,2.975167,251.084674,1.736999,-65.575503,-0.346,-0.084667,"IPM","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0052 DC.hys",342.173014,13712.71109,181.928671,3721276.099,398.506455,398.703594,83.558384,84.4933308,3.684949,1.985416,263.007257,1.800304,-65.566003,-0.346,-0.100045,"T","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0053 DC.hys",339.738798,16191.27439,194.575391,3673011.502,401.729129,402.148827,89.95216,91.50902886,4.408174,3.077832,258.597994,1.725093,-65.556003,-0.346,-0.084433,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0054 DC.hys",330.816588,16239.39499,199.64413,3498660.939,393.032788,391.822871,94.567182,96.62594321,4.641603,4.449929,255.980407,1.670022,-65.546003,-0.346,-0.074023,"H","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 226 0055 DC.hys",304.701138,20701.22357,176.156656,3011445.706,394.363684,392.83813,89.93865,91.49411523,6.874181,19.214832,231.43999,1.373414,-65.536003,-0.346,-1.482554,"S","Obl",2.301333333,"001-1","Colobus tephrosceles","BuccalCusp","Middle",4.281,1.123
"Grid_Position 227 0001 DC.hys",326.584569,17245.86364,196.69938,3417367.02,391.691214,392.341755,94.274016,96.29955992,5.046535,1.967896,234.990747,1.794682,-65.929503,-0.059,-0.060238,"H","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0002 DC.hys",333.719092,17669.3788,203.993366,3554938.536,397.894581,398.682156,95.859426,98.06677612,4.970375,3.960979,252.640705,1.686052,-65.919503,-0.059,-0.098565,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0003 DC.hys",326.438574,17093.12391,196.169362,3414578.697,391.299483,391.789467,94.058369,96.059595,5.005925,3.343718,243.041997,1.707101,-65.909503,-0.059,-0.093091,"IPM","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0004 DC.hys",333.122556,17828.94499,204.14609,3543337.39,399.59819,398.623241,96.088108,98.32212231,5.031681,5.681157,256.717679,1.624856,-65.899503,-0.059,-0.06766,"B","Para",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0005 DC.hys",322.644332,17723.97491,195.855678,3342491.14,390.211242,390.515641,94.915221,97.01365314,5.302624,2.70636,233.291781,1.737375,-65.889503,-0.059,-0.078102,"T","Para",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0006 DC.hys",331.495437,17219.26595,201.614657,3511785.271,394.946568,395.550549,95.321958,97.46707702,4.90328,4.378682,253.015465,1.668896,-65.879503,-0.059,-0.063856,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0007 DC.hys",325.86978,17829.42719,196.370114,3403725.728,393.220238,393.96604,94.304614,96.33361634,5.238209,4.532041,243.973633,1.651989,-65.939503,-0.0485,-0.094953,"B","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0008 DC.hys",337.932826,16325.42284,196.193389,3637396.525,401.593048,400.34098,91.143116,92.82521982,4.488216,3.756477,259.461669,1.69304,-65.929503,-0.0495,-0.011606,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0009 DC.hys",309.3783,20159.2748,178.493035,3096167.731,400.954457,394.084441,89.876026,91.42498987,6.511041,8.02831,222.281691,1.521166,-65.919503,-0.0495,-1.431833,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0010 DC.hys",323.255809,17686.11917,200.380393,3354059.539,388.497733,389.452851,96.940369,99.27473643,5.273049,5.819394,246.76787,1.616594,-65.909503,-0.0495,-0.091506,"IPM","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0011 DC.hys",323.354588,18064.98618,204.171542,3355930.109,389.954325,389.714178,98.746925,101.2991367,5.383004,5.910946,246.654781,1.616866,-65.899503,-0.0495,-0.070522,"B","Para",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0012 DC.hys",334.586533,17287.46834,197.398887,3571840.16,399.982348,400.268774,92.540858,94.37373503,4.839933,2.33242,245.492698,1.767328,-65.889503,-0.0495,-0.067678,"B","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0013 DC.hys",324.088187,17431.0349,198.648941,3369837.511,389.294677,389.899141,95.877478,98.08692894,5.172663,5.987375,248.540569,1.610962,-65.879503,-0.0495,-0.065171,"IPM","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0014 DC.hys",323.890937,17602.0324,196.963651,3366095.407,390.808249,390.916117,95.116904,97.23844227,5.229214,5.840342,246.871992,1.611828,-65.939503,-0.039,-0.105592,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0015 DC.hys",336.2929,17177.32878,198.52331,3605198.578,400.194607,401.187026,92.636415,94.47974967,4.7646,4.655816,258.024882,1.654566,-65.929503,-0.039,-0.071506,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0018 DC.hys",325.075272,17857.3539,202.156941,3388593.342,391.297006,391.325856,97.300206,99.67740859,5.269843,7.819356,252.790051,1.568316,-65.899003,-0.039,-0.07296,"B","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0020 DC.hys",326.141283,17664.19103,202.800557,3408904.145,390.528404,391.467254,97.318762,99.69818099,5.18178,3.106552,241.223809,1.724928,-65.879503,-0.039,-0.069944,"T","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0021 DC.hys",329.738902,17879.20152,194.490378,3477873.569,398.590061,398.685249,92.400868,94.21845939,5.140843,6.716301,253.11654,1.5835,-65.939503,-0.0285,-0.081709,"H","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0022 DC.hys",327.510544,17029.2103,196.293981,3435077.019,392.35399,392.575747,93.836883,95.81323498,4.957446,2.379647,239.518563,1.764275,-65.929503,-0.029,-0.050131,"B","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0023 DC.hys",324.243863,17536.12522,201.12183,3372792.277,388.885231,389.63753,97.028483,99.37331404,5.19929,4.14707,243.569103,1.675259,-65.919503,-0.0285,-0.07287,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0024 DC.hys",328.541893,17348.12543,204.911085,3454853.348,393.272185,392.038185,97.675462,100.0976295,5.021378,1.802133,237.897501,1.820666,-65.909503,-0.0285,-0.120993,"T","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0026 DC.hys",330.087125,17547.88476,196.308037,3484583.997,396.391829,397.129279,93.174579,95.07716885,5.035862,3.433367,245.182304,1.69983,-65.889503,-0.0285,-0.070542,"H","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0027 DC.hys",331.157526,17081.34058,195.321873,3505249.454,395.802073,396.746726,92.432829,94.25390661,4.873074,7.392131,259.187978,1.572958,-65.879503,-0.0285,-0.080215,"T","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0028 DC.hys",325.513774,17239.30437,198.830643,3396941.214,390.378145,390.541368,95.581563,97.75666399,5.074949,7.840266,254.690127,1.566849,-65.939503,-0.019,-0.066915,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0029 DC.hys",327.440431,16992.98126,198.692713,3433734.533,391.119411,391.583377,95.002145,97.11052515,4.948834,3.840267,247.194602,1.688285,-65.929503,-0.019,-0.078953,"S","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0030 DC.hys",323.384725,18155.64312,200.361904,3356500.904,390.892663,391.345411,96.896166,99.22529053,5.409098,6.525751,246.841903,1.594711,-65.919503,-0.019,-0.044994,"H","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0031 DC.hys",337.755482,17058.16138,196.767778,3633908.049,402.437614,402.774365,91.453818,93.16908236,4.694164,3.773158,256.43469,1.688044,-65.909003,-0.019,-0.078786,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0032 DC.hys",328.871992,15783.28763,182.972691,3461194.398,392.725062,393.567251,87.138104,88.41081703,4.56007,27.96728,278.419305,1.334889,-65.899503,-0.019,-0.051514,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0033 DC.hys",326.979187,17625.77624,203.329016,3424909.089,391.610214,391.993676,97.344106,99.72655336,5.146349,3.694614,244.8839,1.697042,-65.889503,-0.019,-0.05455,"B","Para",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0034 DC.hys",324.841876,17626.05779,198.527976,3384154.087,390.893662,391.429687,95.6162,97.79531206,5.208409,4.177979,243.176656,1.669822,-65.879503,-0.019,-0.089995,"IPM","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0035 DC.hys",325.242185,18595.99819,200.201659,3391769.767,394.28231,394.906936,96.313978,98.57443778,5.482683,4.167829,240.101971,1.666606,-65.939503,-0.0085,-0.061064,"T","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0036 DC.hys",334.440921,17749.63385,198.176606,3569000.339,401.214958,401.614468,92.942408,94.81935954,4.973279,5.083607,255.101322,1.635835,-65.929503,-0.009,-0.103679,"T","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0037 DC.hys",323.631756,17855.54204,199.383945,3361181.387,389.889246,390.796926,96.356061,98.62145996,5.312282,5.778808,246.129189,1.615433,-65.919503,-0.009,-0.057009,"IPM","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0038 DC.hys",334.16652,17234.33343,198.714411,3563651.694,399.025274,399.213388,93.264543,95.17709799,4.836144,2.757387,248.140912,1.741888,-65.909503,-0.009,-0.055078,"T","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0039 DC.hys",323.642147,18196.23118,201.183392,3361378.34,390.950129,391.47664,97.222829,99.59079729,5.413324,6.733549,247.637613,1.590331,-65.899003,-0.009,-0.100401,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0041 DC.hys",326.195742,17737.91429,199.998979,3409943.307,392.899482,392.713261,95.959732,98.17876406,5.201821,2.691718,238.020204,1.744199,-65.879503,-0.009,-0.100703,"T","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0042 DC.hys",324.663742,17331.64854,199.818707,3380767.773,390.539246,389.716392,96.286035,98.54321725,5.126542,2.055141,234.325038,1.791526,-65.939503,0.001,-0.048455,"H","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0043 DC.hys",322.338318,17649.55829,195.183715,3336708.814,389.404676,390.15734,94.671499,96.74212377,5.289511,8.608908,250.540503,1.544001,-65.929503,0.001,-0.061205,"U","U",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0044 DC.hys",325.570505,17631.64212,200.945056,3398021.926,390.68559,391.378203,96.582639,98.87469567,5.188796,2.282081,235.752672,1.77364,-65.919503,0.001,-0.101131,"H","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0045 DC.hys",327.551458,16849.9992,194.576073,3435860.523,392.124996,392.500345,93.005043,94.88890004,4.904157,1.759946,235.499907,1.812969,-65.909003,0.001,-0.093537,"T","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0046 DC.hys",331.93973,17493.56478,196.131568,3520387.476,398.18212,398.834487,92.616229,94.45735293,4.969216,4.519933,251.294124,1.65417,-65.899003,0.001,-0.064044,"S","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0047 DC.hys",334.61828,17320.03637,196.579273,3572459.443,400.073022,400.69863,92.148634,93.93878781,4.848211,2.764026,247.589594,1.73776,-65.889503,0.001,-0.084384,"S","Obl",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
"Grid_Position 227 0048 DC.hys",324.336596,17540.81381,197.069093,3374552.938,392.705467,391.09293,95.04849,97.16218065,5.197967,4.580341,243.96412,1.652976,-65.879503,0.001,-0.051029,"T","Para",0.421666667,"001-1","Colobus tephrosceles","BuccalCusp","Outer",2.562,1.923
